id;certificate_name;issuer;issue_year;expiry_year;description;created_by;created_at;updated_by;updated_at
1;Chicken Montserrat Handmade;Administrator implement;6004;71491;Refined Engineer Investor;bypassing Cotton solutions;2021-08-09;Kansas Decentralized;2021-08-08
2;Toys killer;program synthesize;21192;81919;Forward;feed;2021-08-08;Alley mission-critical;2021-08-08
3;mobile violet;Incredible;89761;8656;Delaware info-mediaries;Senior Handmade;2021-08-08;intuitive invoice;2021-08-09
4;overriding Sleek Lebanon;Analyst;57179;33645;Ohio;Fish cross-platform Borders;2021-08-08;multi-state Pizza architectures;2021-08-09
5;District Walk;Dominican;88194;91828;moratorium archive quantify;Loan Intelligent;2021-08-08;Home;2021-08-08
6;Liaison;incremental back-end;94970;88920;Persistent orchid;Direct Indiana;2021-08-09;SCSI synthesize;2021-08-08
7;action-items fuchsia;Wooden Legacy Program;10795;3704;Fish Principal;card Dollar Solomon;2021-08-08;JBOD Direct transmitting;2021-08-09
8;Gorgeous;paradigm microchip Investment;57602;50203;Savings application system;Uzbekistan circuit;2021-08-08;Shoes whiteboard Saint;2021-08-08
9;Proactive;rich Forge;46046;20842;auxiliary paradigms Optional;Markets;2021-08-09;invoice;2021-08-08
10;integrated;context-sensitive;96533;91134;Division;black;2021-08-08;Loan;2021-08-08
