id;path;fileformat;filetype;tag;is_default;is_resume;is_profile_pic;created_by;created_at;updated_by;updated_at
1;bypass Right-sized;PPT;Cover_Letter;Manors Computers;true;true;false;copying Ergonomic;2021-08-09;Solutions Oman;2021-08-09
2;Accounts cyan;DOC;Other_Pic;Devolved program Bahamas;false;true;true;Samoa Unbranded;2021-08-08;Hawaii front-end;2021-08-08
3;5th static;DOC;Other;support;true;false;true;Usability Rubber Buckinghamshire;2021-08-08;logistical;2021-08-09
4;deposit;DOC;Resume;cross-platform;true;true;false;dedicated;2021-08-09;service-desk;2021-08-08
5;e-commerce back-end;DOC;Other;focus deposit Pants;false;false;false;Soap;2021-08-09;Liaison multi-byte;2021-08-09
6;Account;DOC;Resume;cyan;false;false;true;Games mint Generic;2021-08-09;Serbia Tunisia auxiliary;2021-08-08
7;Toys Chief;DOC;Cover_Letter;Avon;false;true;false;invoice Sausages Frozen;2021-08-09;Toys Dollar interface;2021-08-08
8;orange world-class Market;PDF;Cover_Letter;seamless quantifying RSS;true;false;true;RAM SCSI;2021-08-09;Industrial global wireless;2021-08-08
9;Card pink green;PDF;Profile_Pic;Internal Switchable Associate;false;true;false;portals;2021-08-08;hard payment up;2021-08-08
10;infrastructure;DOC;Profile_Pic;Bedfordshire methodologies;false;false;true;streamline South Pants;2021-08-08;24/7 monetize primary;2021-08-08
